Name,sym,z, Pauling_Electronegativity,block,Display_Atomic_Mass,Kiddie_Atomic_Mass,Actual Atomic Mass, Density, Melting_Point, Boiling_Point, Atomic_Radius, Covalent_Radius, Ionic_Radius, Specific_Volume, Specific_Heat, Heat_Fusion, Heat_Evaporation, Thermal_Conductivity, First_Ionisation_Energy, Oxidation_States, Lattice, Lattice_Constant
Nickel,Ni,28,1.91,3d,58.6934(4),58.693,58.6934(4),8.902,1726,3005,124,115, ,6.6,0.443,17.61,378.6,90.9,736.2, 3 2 0, FCC,3.52
Copper,Cu,29,1.90,3d,63.546(3),63.546,63.546(3),8.96,1356.6,2840,128,117, ,7.1,0.385,13.01,304.6,401,745, 2 1, FCC,3.61
Zinc,Zn,30,1.65,3d,65.38(2),65.38,65.38(2),7.133,692.73,1180,138,125, ,9.2,0.388,7.28,114.8,116,905.8,2, HEX,2.66
Gallium,Ga,31,1.81,4p,69.723(1),69.723,69.723(1),5.91,302.93,2676,141,126, ,11.8,0.372,5.59,270.3,28.1,578.7,3, ORC,4.51
Germanium,Ge,32,2.01,4p,72.630(8),72.630,72.630(8),5.323,1210.6,3103,137,122, ,13.6,0.322,36.8,328,60.2,760,4, DIA,5.66
Arsenic,As,33,2.18,4p,74.921595(6),74.922,74.921595(6), 5.73 (grey arsenic),1090,876,139,120, ,13.1,0.328, -,32.4,<50.2>,946.2, 5 3 -2, RHL,4.13
Selenium,Se,34,2.55,4p,78.971(8),78.971,78.971(8),4.79,490,958.1,140,116, ,16.5,0.321 (Se-Se),5.23,59.7,0.52,940.4, 6 4 -2, HEX,4.36
Bromine,Br,35,2.96,4p,79.904,79.904,"[79.901,79.907]",3.12,265.9,331.9, -,114, ,23.5,0.473 (Br-Br), 10.57 (Br-Br), 29.56 (Br-Br),0.005,1142, 7 5 3 1 -1, ORC,6.67
Krypton,Kr,36,3.00,4p,83.798(2),83.798,83.798(2), 2.155 (@ -153degC),116.6,120.85, -,112, ,32.2,0.247, -,9.05,0.0095,1350,2, FCC,5.72
Rubidium,Rb,37,0.82,5s,85.4678(3),85.4678,85.4678(3),1.532,312.2,961,248,216, ,55.9,0.36,2.2,75.8,58.2,402.8,1, BCC,5.59
Strontium,Sr,38,0.95,5s,87.62(1),87.62,87.62(1),2.54,1042,1657,215,191, ,33.7,0.301,9.2,144,<35.4>,549,2, FCC,6.08
Yttrium,Y,39,1.22,4d,88.90584(1),88.906,88.90584(1),4.47,1795,3611,178,162, ,19.8,0.284,11.5,367,<17.2>,615.4,3, HEX,3.65
Zirconium,Zr,40,1.33,4d,91.224(2),91.224,91.224(2),6.506,2125,4650,160,145, ,14.1,0.281,19.2,567,22.7,659.7,4, HEX,3.23
Niobium,Nb,41,1.6,4d,92.90637(1),92.906,92.90637(1),8.57,2741,5015,146,134, ,10.8,0.268,26.8,680,53.7,663.6, 5 3, BCC,3.3
Molybdenum,Mo,42,2.16,4d,95.95(1),95.95,95.95(1),10.22,2890,4885,139,130, ,9.4,0.251,28, ~590,<138>,684.8, 6 5 4 3 2 0, BCC,3.15
Technetium,Tc,43,1.9,4d,—,—,—,11.5,2445,5150,136,127, ,8.5,0.243,23.8,585,50.6,702.2,7, HEX,2.74
Ruthenium,Ru,44,2.2,4d,101.07(2),101.07,101.07(2),12.41,2583,4173,134,125, ,8.3,0.238,<25.5>, -,117,710.3, 8 6 4 3 2 0 -2, HEX,2.7
